candidate,path,description,weights,public_proxy_mse,observed_public_mse,validation_mse,validation_rmse,validation_mae,event_adjustment,event_profile,event_changed_rows,validation_adjusted_rows,mean,std,min,max
raw_count_0p52500_event_empirical_storm,outputs/candidates/submission_raw_count_0p52500_event_empirical_storm.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,empirical_storm,12,0,258.00645858088814,216.56531382076926,3.2992642318895027,1033.3963751078654
raw_count_0p52500_event_empirical_recovery,outputs/candidates/submission_raw_count_0p52500_event_empirical_recovery.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,empirical_recovery,12,0,258.0224025875817,216.55916856014616,3.2992642318895027,1033.3963751078654
raw_count_0p52500_event_empirical_shutdown,outputs/candidates/submission_raw_count_0p52500_event_empirical_shutdown.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,empirical_shutdown,12,0,257.99072218719004,216.5803335344432,3.2992642318895027,1033.3963751078654
raw_count_0p52500_event_mid_heavy,outputs/candidates/submission_raw_count_0p52500_event_mid_heavy.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,mid_heavy,12,0,257.99051457419455,216.5726820635656,3.2992642318895027,1033.3963751078654
raw_count_0p52500_event_late_recovery,outputs/candidates/submission_raw_count_0p52500_event_late_recovery.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,late_recovery,12,0,258.0377535410335,216.54542376504125,3.2992642318895027,1033.3963751078654
raw_count_0p52500_event_peak_heavy,outputs/candidates/submission_raw_count_0p52500_event_peak_heavy.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,peak_heavy,12,0,257.9901291339483,216.5731329995488,3.2992642318895027,1033.3963751078654
raw_count_0p52500_event_extreme,outputs/candidates/submission_raw_count_0p52500_event_extreme.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,extreme,12,0,257.9741851272547,216.58172405342813,3.2992642318895027,1033.3963751078654
raw_count_0p52500_event_extended,outputs/candidates/submission_raw_count_0p52500_event_extended.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,extended,29,0,257.90080995195467,216.5546226692324,3.2992642318895027,1033.3963751078654
raw_count_0p55000,outputs/candidates/submission_raw_count_0p55000.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,False,none,0,0,259.2660349605878,217.19170551228834,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_mild,outputs/candidates/submission_raw_count_0p55000_event_mild.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,mild,12,0,259.1382514218224,217.20293987011553,3.354835642754169,1037.3065778146683
raw_count_0p55000_event,outputs/candidates/submission_raw_count_0p55000_event.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,default,12,0,259.011034473147,217.23757472231097,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_strong,outputs/candidates/submission_raw_count_0p55000_event_strong.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,strong,12,0,258.89982310894806,217.2977457636992,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_strong_day_0p30,outputs/candidates/submission_raw_count_0p55000_event_strong_day_0p30.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,strong_day_0p30,12,0,258.9002098698851,217.29729798750307,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_strong_core_0p33,outputs/candidates/submission_raw_count_0p55000_event_strong_core_0p33.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,strong_core_0p33,12,0,258.89365835224595,217.30283201836443,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_strong_core_0p37,outputs/candidates/submission_raw_count_0p55000_event_strong_core_0p37.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,strong_core_0p37,12,0,258.9059878656502,217.29279220183096,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_strong_late_0p45,outputs/candidates/submission_raw_count_0p55000_event_strong_late_0p45.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,strong_late_0p45,12,0,258.88381752447157,217.3051399571612,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_strong_late_0p55,outputs/candidates/submission_raw_count_0p55000_event_strong_late_0p55.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,strong_late_0p55,12,0,258.9158286934246,217.2915797001725,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_score_rebound_light,outputs/candidates/submission_raw_count_0p55000_event_score_rebound_light.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,score_rebound_light,12,0,258.91546705726563,217.28534169357812,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_score_rebound_0p25,outputs/candidates/submission_raw_count_0p55000_event_score_rebound_0p25.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,score_rebound_0p25,12,0,258.90762574506,217.29146237077728,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_score_rebound_0p50,outputs/candidates/submission_raw_count_0p55000_event_score_rebound_0p50.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,score_rebound_0p50,12,0,258.91542838117186,217.28538646448246,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_score_rebound_0p75,outputs/candidates/submission_raw_count_0p55000_event_score_rebound_0p75.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,score_rebound_0p75,12,0,258.9232310172838,217.2795180622209,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_score_rebound_mid,outputs/candidates/submission_raw_count_0p55000_event_score_rebound_mid.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,score_rebound_mid,12,0,258.93103365339573,217.2738571808062,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_score_rebound_1p25,outputs/candidates/submission_raw_count_0p55000_event_score_rebound_1p25.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,score_rebound_1p25,12,0,258.93883628950766,217.26840383645907,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_score_rebound_1p50,outputs/candidates/submission_raw_count_0p55000_event_score_rebound_1p50.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,score_rebound_1p50,12,0,258.9466389256196,217.26315804480723,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_score_rebound_1p75,outputs/candidates/submission_raw_count_0p55000_event_score_rebound_1p75.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,score_rebound_1p75,12,0,258.95444156173147,217.25811982088493,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_score_rebound_fit,outputs/candidates/submission_raw_count_0p55000_event_score_rebound_fit.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2823.615797845109,53.137705989674686,33.46341851392418,True,score_rebound_fit,12,0,258.9622441978434,217.25328917913305,3.354835642754169,1037.3065778146683
raw_count_0p55000_event_score_rebound_fit_weather3_soft,outputs/candidates/submission_raw_count_0p55000_event_score_rebound_fit_weather3_soft.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.45000;count_calibrated:0.55000,,,2809.022593151856,53.00021314251346,33.39165497362153,True,score_rebound_fit_weather3_soft,243,250,258.24516919336713,217.04784424616278,3.354835642754169,1037.3065778146683
